,Model,Price,MarketSegment,Lithography,CoreCount,ThreadCount,ClockSpeedMax,TurboBoostMaxTechMaxFreq,ClockSpeed,Cache,Bus,MaxTDP,BornOnDate
0,Intel® Core™ i9-10900X X-series Processor,$648.00 - $658.00,Desktop,14 nm,10,20,4.50 GHz,4.70 GHz,3.70 GHz,19.25 MB Intel® Smart Cache,8 GT/s DMI3,165 W,Q4'19
1,Intel® Core™ i9-10920X X-series Processor,$759.00 - $769.00,Desktop,14 nm,12,24,4.60 GHz,4.80 GHz,3.50 GHz,19.25 MB Intel® Smart Cache,8 GT/s DMI3,165 W,Q4'19
2,Intel® Core™ i9-10940X X-series Processor,$863.00 - $873.00,Desktop,14 nm,14,28,4.60 GHz,4.80 GHz,3.30 GHz,19.25 MB Intel® Smart Cache,8 GT/s DMI3,165 W,Q4'19
3,Intel® Core™ i9-10980XE Extreme Edition Processor,$1076.00 - $1086.00,Desktop,14 nm,18,36,4.60 GHz,4.80 GHz,3.00 GHz,24.75 MB Intel® Smart Cache,8 GT/s DMI3,165 W,Q4'19
4,Intel® Core™ i7-9800X X-series Processor,$589.00 ,Desktop,14 nm,8,16,4.40 GHz,4.50 GHz,3.80 GHz,16.5 MB Intel® Smart Cache,8 GT/s,165 W,Q4'18
5,Intel® Core™ i9-9820X X-series Processor,$889.00 ,Desktop,14 nm,10,20,4.10 GHz,4.20 GHz,3.30 GHz,16.5 MB Intel® Smart Cache,8 GT/s,165 W,Q4'18
6,Intel® Core™ i9-9900X X-series Processor,$989.00 ,Desktop,14 nm,10,20,4.40 GHz,4.50 GHz,3.50 GHz,19.25 MB Intel® Smart Cache,8 GT/s,165 W,Q4'18
7,Intel® Core™ i9-9920X X-series Processor,"$1,189.00 ",Desktop,14 nm,12,24,4.40 GHz,4.50 GHz,3.50 GHz,19.25 MB Intel® Smart Cache,8 GT/s,165 W,Q4'18
8,Intel® Core™ i9-9940X X-series Processor,"$1,387.00 ",Desktop,14 nm,14,28,4.40 GHz,4.50 GHz,3.30 GHz,19.25 MB Intel® Smart Cache,8 GT/s,165 W,Q4'18
9,Intel® Core™ i9-9960X X-series Processor,"$1,684.00 ",Desktop,14 nm,16,32,4.40 GHz,4.50 GHz,3.10 GHz,22 MB Intel® Smart Cache,8 GT/s,165 W,Q4'18
10,Intel® Core™ i9-9980XE Extreme Edition Processor,"$1,979.00 ",Desktop,14 nm,18,36,4.40 GHz,4.50 GHz,3.00 GHz,24.75 MB Intel® Smart Cache,8 GT/s,165 W,Q4'18
11,Intel® Core™ i9-7940X X-series Processor,,Desktop,,14,28,4.30 GHz,4.40 GHz,3.10 GHz,19.25 MB,8 GT/s,165 W,Q3'17
12,Intel® Core™ i9-7960X X-series Processor,,Desktop,,16,32,4.20 GHz,4.40 GHz,2.80 GHz,22 MB,8 GT/s,165 W,Q3'17
